status,error_type,error_message,backend_name,backend_num_qubits,backend_basis_gates,backend_calibration_timestamp,job_id,optimization_level,resilience_level,requested_precision,shots,model_id,split_id,seed,date,ticker,sample_index,analytic_score,hardware_expectation,hardware_expectation_std,bias,hardware_score,score_diff,runtime_seconds
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLB,0,-0.6197011641087729,0.24,0.09707728879609277,-0.4236579695998152,-0.18365796959981523,0.4360431945089576,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLC,1,-0.5853468695667691,-0.04,0.09991996797437437,-0.4236579695998152,-0.4636579695998152,0.12168889996695387,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLE,2,-0.8620194255037645,-0.42,0.09075241043630743,-0.4236579695998152,-0.8436579695998152,0.01836145590394933,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLF,3,-0.801217047491378,-0.04,0.09991996797437437,-0.4236579695998152,-0.4636579695998152,0.3375590778915628,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLI,4,-0.626065860087772,0.02,0.09997999799959992,-0.4236579695998152,-0.4036579695998152,0.22240789048795678,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLK,5,-0.843348106610283,0.68,0.07332121111929343,-0.4236579695998152,0.25634203040018483,1.099690137010468,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLP,6,-0.13032996422663462,0.36,0.0932952303175248,-0.4236579695998152,-0.06365796959981523,0.06667199462681939,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLRE,7,-0.861540405124539,-0.36,0.0932952303175248,-0.4236579695998152,-0.7836579695998152,0.07788243552472385,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLU,8,-0.7858094564284988,0.4,0.0916515138991168,-0.4236579695998152,-0.0236579695998152,0.7621514868286836,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLV,9,-0.18906177216244957,-0.56,0.0828492607088319,-0.4236579695998152,-0.9836579695998153,-0.7945961974373658,7.344192874996224
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,d812tso0bvlc73d0hs4g,0,0,0.1,100,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLY,10,-0.6697532914242824,0.06,0.09981983770774223,-0.4236579695998152,-0.3636579695998152,0.3060953218244672,7.344192874996224
