status,error_type,error_message,backend_name,backend_num_qubits,backend_basis_gates,backend_calibration_timestamp,optimization_level,model_id,split_id,seed,date,ticker,sample_index,pre_depth,post_depth,pre_two_qubit_gate_count,post_two_qubit_gate_count,post_swap_count,post_cx_count,physical_layout,runtime_seconds
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLB,0,8,28,4,10,0,0,"TranspileLayout(initial_layout=Layout({
14: <Qubit register=(4, ""q""), index=0>,
0: <Qubit register=(4, ""q""), index=1>,
1: <Qubit register=(4, ""q""), index=2>,
2: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
71: <Qubit register=(123, ""ancilla""), index=2>,
3: <Qubit register=(123, ""ancilla""), index=3>,
25: <Qubit register=(123, ""ancilla""), index=4>,
95: <Qubit register=(123, ""ancilla""), index=5>,
64: <Qubit regist",1.7606473750056466
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLC,1,8,27,4,10,0,0,"TranspileLayout(initial_layout=Layout({
1: <Qubit register=(4, ""q""), index=0>,
0: <Qubit register=(4, ""q""), index=1>,
14: <Qubit register=(4, ""q""), index=2>,
2: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
71: <Qubit register=(123, ""ancilla""), index=2>,
3: <Qubit register=(123, ""ancilla""), index=3>,
25: <Qubit register=(123, ""ancilla""), index=4>,
95: <Qubit register=(123, ""ancilla""), index=5>,
64: <Qubit regist",0.011269499998888932
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLE,2,8,26,4,10,0,0,"TranspileLayout(initial_layout=Layout({
0: <Qubit register=(4, ""q""), index=0>,
1: <Qubit register=(4, ""q""), index=1>,
2: <Qubit register=(4, ""q""), index=2>,
14: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
71: <Qubit register=(123, ""ancilla""), index=2>,
3: <Qubit register=(123, ""ancilla""), index=3>,
25: <Qubit register=(123, ""ancilla""), index=4>,
95: <Qubit register=(123, ""ancilla""), index=5>,
64: <Qubit regist",0.011007041000993922
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLF,3,8,27,4,10,0,0,"TranspileLayout(initial_layout=Layout({
1: <Qubit register=(4, ""q""), index=0>,
0: <Qubit register=(4, ""q""), index=1>,
14: <Qubit register=(4, ""q""), index=2>,
2: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
71: <Qubit register=(123, ""ancilla""), index=2>,
3: <Qubit register=(123, ""ancilla""), index=3>,
25: <Qubit register=(123, ""ancilla""), index=4>,
95: <Qubit register=(123, ""ancilla""), index=5>,
64: <Qubit regist",0.010553540996625088
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLI,4,8,27,4,7,0,0,"TranspileLayout(initial_layout=Layout({
63: <Qubit register=(4, ""q""), index=0>,
64: <Qubit register=(4, ""q""), index=1>,
65: <Qubit register=(4, ""q""), index=2>,
54: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
0: <Qubit register=(123, ""ancilla""), index=2>,
71: <Qubit register=(123, ""ancilla""), index=3>,
3: <Qubit register=(123, ""ancilla""), index=4>,
25: <Qubit register=(123, ""ancilla""), index=5>,
2: <Qubit regis",0.011715417000232264
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLK,5,8,27,4,7,0,0,"TranspileLayout(initial_layout=Layout({
63: <Qubit register=(4, ""q""), index=0>,
64: <Qubit register=(4, ""q""), index=1>,
65: <Qubit register=(4, ""q""), index=2>,
54: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
0: <Qubit register=(123, ""ancilla""), index=2>,
71: <Qubit register=(123, ""ancilla""), index=3>,
3: <Qubit register=(123, ""ancilla""), index=4>,
25: <Qubit register=(123, ""ancilla""), index=5>,
2: <Qubit regis",0.01098695800465066
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLP,6,8,27,4,7,0,0,"TranspileLayout(initial_layout=Layout({
63: <Qubit register=(4, ""q""), index=0>,
64: <Qubit register=(4, ""q""), index=1>,
65: <Qubit register=(4, ""q""), index=2>,
54: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
0: <Qubit register=(123, ""ancilla""), index=2>,
71: <Qubit register=(123, ""ancilla""), index=3>,
3: <Qubit register=(123, ""ancilla""), index=4>,
25: <Qubit register=(123, ""ancilla""), index=5>,
2: <Qubit regis",0.010764582999399863
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLRE,7,8,25,4,10,0,0,"TranspileLayout(initial_layout=Layout({
2: <Qubit register=(4, ""q""), index=0>,
1: <Qubit register=(4, ""q""), index=1>,
0: <Qubit register=(4, ""q""), index=2>,
14: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
71: <Qubit register=(123, ""ancilla""), index=2>,
3: <Qubit register=(123, ""ancilla""), index=3>,
25: <Qubit register=(123, ""ancilla""), index=4>,
95: <Qubit register=(123, ""ancilla""), index=5>,
64: <Qubit regist",0.011267833004239947
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLU,8,8,27,4,7,0,0,"TranspileLayout(initial_layout=Layout({
63: <Qubit register=(4, ""q""), index=0>,
64: <Qubit register=(4, ""q""), index=1>,
65: <Qubit register=(4, ""q""), index=2>,
54: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
0: <Qubit register=(123, ""ancilla""), index=2>,
71: <Qubit register=(123, ""ancilla""), index=3>,
3: <Qubit register=(123, ""ancilla""), index=4>,
25: <Qubit register=(123, ""ancilla""), index=5>,
2: <Qubit regis",0.010740124998847023
success,,,ibm_rensselaer,127,"delay,ecr,id,measure,reset,rz,sx,x",2026-05-11 13:58:02-04:00,1,split_00_2018-12__seed_42,split_00_2018-12,42,2018-12-07,XLV,9,8,27,4,10,0,0,"TranspileLayout(initial_layout=Layout({
1: <Qubit register=(4, ""q""), index=0>,
0: <Qubit register=(4, ""q""), index=1>,
14: <Qubit register=(4, ""q""), index=2>,
2: <Qubit register=(4, ""q""), index=3>,
4: <Qubit register=(123, ""ancilla""), index=0>,
38: <Qubit register=(123, ""ancilla""), index=1>,
71: <Qubit register=(123, ""ancilla""), index=2>,
3: <Qubit register=(123, ""ancilla""), index=3>,
25: <Qubit register=(123, ""ancilla""), index=4>,
95: <Qubit register=(123, ""ancilla""), index=5>,
64: <Qubit regist",0.010796249996928964
